Book Title,Author,Publication Year,Genres,Summary,Rating Count,Average Rating,Number of Pages,Best Seller,Film,Saga,Followed by,Preceded by
Swan Song,Robert R. McCammon,1987.0,"['speculative', 'science', 'horror', 'dystopia', 'apocalyptic']"," The president of the United States and his advisers are discussing how the Soviets are building up their forces for a nuclear strike. The relationship between the Soviet and American governments has deteriorated badly. Several months earlier, the war in Afghanistan ended with the Soviets launching mustard gas and other nerve agents at Kabul. India and Pakistan destroy each other in a nuclear war, Iran launches Soviet-supplied nuclear weapons on Iraq, and Soviet and American ships play cat and mouse in the Atlantic. With increased reports of submarines off the west coast of the United States, every base switches to DEFCON 1. In New York City, Sister Creep, a homeless woman suffering from depression ever since her daughter died in a car crash, wanders the subway system. While she is below ground in a tunnel, the bombs begin to fall. She narrowly escapes with her life. A wrestler named Josh Hutchins, popularly dubbed ""Black Frankenstein"", is traveling to a match in Garden City, Kansas, when his vehicle breaks down at a gas station called PawPaw's. Josh meets a nine-year-old girl named Sue Wanda (Swan) and her mother. Swan's mother ran away with Swan when her husband used the family's money to buy beer. The cornfields around the station catch fire as missiles begin to fall, and Josh realizes that a war has begun. They take shelter in PawPaw's basement. Roland Croninger is a thirteen year old boy who likes to call himself a ""King's Knight"", a role in a game that he invented himself. His parents take him to Blue Dome Mountain in Idaho, a civilian fallout shelter. Colonel James ""Jimbo"" Macklin, meanwhile, a Vietnam veteran, controls the Blue Dome. When the missiles begin falling, they begin to damage Blue Dome Mountain. Macklin falls into a deep hole and, while trapped, is reminded of his experiences in Vietnam. In New York City, Sister Creep begins to walk around the remains of a New York ravaged by radioactive thunderstorms and tornadoes. While walking around, she finds a glass ring with jewels encased in the glass. Seeing it, she picks it up, believing it is important. She is surprised to see an undamaged building. Entering, she meets ""The Man With The Scarlet Eye"". She runs away and the building collapses. Sister is soon met by other survivors. They make their way through the hazardous Holland Tunnel, eventually scrabbling their way to New Jersey. In Blue Dome Mountain, Roland awakens in the cafeteria and is unable to find his mother and father. He is then picked up by one of Macklin's men who leads Roland to Macklin. Macklin is at the bottom of a deep hole. Roland, with a butcher knife and lighter, begins to climb down to Macklin and finds that his arm is stuck in a wall. He is forced to amputate the arm and cauterize it with a smoldering portion of desk found in the room. After Macklin's rescue, the pair must figure out how to break through the area where the food is stored. They find that the entrance to the food stores is blocked by rubble. Macklin oversees as the survivors remove the rubble, which soon collapses on top of the laborers. Simultaneously, Roland is searching through the cafeteria for scraps of food. He is then challenged by one of Colonel Macklin's former men, Schorr. Schorr has gone insane and taken up arms against Macklin, who he believes knew that this would happen and should have prevented it by ensuring the quality of the fallout shelter. Roland slices Schorr's left cheek and murders his two followers. In Kansas, Swan's mother dies, as does PawPaw. Josh discovers a gopher hole and starts to dig their way out. He notices that there was grass growing where Swan slept. He starts to realize that she has special powers. After that they reach the surface. Sister Creep and her party start to head for Pittsburgh, but are interrupted by a man named Doyle Halland. He says he was a priest who prayed for the dying and the dead. Doyle keeps looking at Sister's bag, and she shows him the glass ring. While Sister goes on a short excursion with another survivor, Doyle brutally murders all the other survivors. Sister and her companion return to find Doyle and the corpses. Doyle then says that he had known her all along and had been following her from New York; he was ""The Man With the Scarlet Eye."" Sister injures Doyle and escapes. Back in the Blue Dome, Colonel Macklin, Roland, and Warner sleep in the gym. Soon Schorr's men start to pound the door while yelling that they need food but Macklin refuses to help. They start throwing Molotov cocktails and begin to break the door open. As they charge for the food, Roland begins to shoot them and one of them grabs his neck. Unknown to Roland the man was his father, and Roland blows off his entire head. A woman steals Roland's gun, but Macklin finds a vent to the outside world. While climbing through the vents, Roland realizes that the woman who stole his weapon was his mother, but he continues on. They reach the surface and begin to walk. Meanwhile, Josh and Swan reach a town called Sullivan, where they meet Leona Skelton. Her husband, Davy, is on his deathbed, sick from radiation poisoning. Leona tells the future with globes and tarot cards, and after Josh falls asleep, she reads Swan's cards. She predicts she is going to face the Devil. When Davy dies, Josh digs a grave for him. Afterwards, they make their way to Matheson, a small town away from Sullivan. On their way they stop at the Jaspin farm. Josh discovers that the people in there were brutally murdered. Meanwhile, Swan goes into the cornfield and finds a horse, which she brings with them. Sister and her last survivor, Artie, begin making their way west. But on the way they are attacked by wolves and are saved by Paul, a mountain man. They follow Paul into the woods to his cabin, where there are more survivors. A few hours in, they keep saying that they should ""do it"". It turns out that they want to go on the radio, searching for a voice. Sister is shocked and slaps Paul saying that he gets a sick pleasure from it, but he says it keeps them from going crazy. They then decide to leave in Paul's truck. Near Salt Lake, Utah, Colonel Macklin and Roland find Shelia Fontana. She has no burn marks on her. Roland has sex with her, and they make their way toward the Fat Man. In Salt Lake, there are two kinds of people: Dirtwarts and Regulars. Dirtwarts country is where Roland and Colonel Macklin live and the Regulars are people with guns, food, water, and other resources. The Fat Man leads them. They go into Regular country and there they meet the Fat Man at his trailer. They have a deal where they get a place and they give him some drugs found in Shelia's bag. The Fat Man's men come to get the couple out. But one of the men kills the couple's baby when they refuse to go. Soon after this, Macklin soaks his arm in the Salt Lake for it to heal. At the same time, the Fat Man calls Roland to his trailer. But the Fat Man puts the drugs into the soda that Roland drank and attempts to rape him. Roland kills the Fat Man when he burns his face with a kerosene lamp. Soon after, Macklin, Roland, and Shiela take control of the camp. Josh and Swan make it to Matheson and find a supermarket with all the lights on and stocked with food. It turns out to be a trap for the insane people from a nearby asylum. There, Josh must play a game where he must fight through the market to Swan and Leona. He manages to get through to them, but the insane leader decides to kill Swan. Just then, a terrier that was following them attacks him and they escape, but Leona sacrifices herself to allow time for Josh and Swan to escape. Josh and Swan, Mule, and the Terrier (now named Killer) find an abandoned circus train and befriend Rusty, a ex-rodeo rider and clown. Seven years later, people are surviving in small settlements and wandering groups. Some people have been afflicted by tumor-like growths which appear only on the head and grow, merging into a fleshy helmet that limits breathing, speaking, and sight. This is commonly called “Job’s Mask”. A nuclear winter has made America a wasteland; the sun has not come out in years, and there is still radiation in the rain. The ground is poisoned by toxic rain and no plants grow. Macklin and Roland Croninger have forged their people into the “Army of Excellence”. Their goal is to purge the countryside of the disfigured, lead the country in rebuilding and getting revenge on the Russians. The Army of Excellence, or AOE, is over 4,000 strong and is pushing east, capturing and destroying settlements and seizing stockpiles of food, water, and ammunition. Both Macklin and Croninger have Job’s Mask and hide it under bandages. They hear about another army and decimate it. They torture a man named Brother Timothy and find out that the other army was heading to Warwick Mountain in West Virginia. Brother Timothy claims that God sheltered him for a few days on a mountaintop there and he had a silver key, a phrase, and a black box that could destroy the world. While they do not know precisely what that means, the AOE decide to head to West Virginia. Initially devoted to Macklin, Croninger eventually gains dominance over Macklin, calling himself the real “King”, while Macklin is just a figurehead. Sheila Fontaine is still with the AOE as an RL or “Recreation Lady” providing sexual companionship to the upper echelons of the AOE, including Macklin and Croninger. She is tormented by guilt in the deaths of Rudy and the baby that was killed to provide space for her. Sister and Paul are still together and have been crisscrossing the midwest, following her visions. Sister has Job’s Mask. They have dodged the Man with the Scarlet Eye several times and wander, trading for food and supplies. They meet up with a group of boys from an orphanage, led by a 17-year-old boy named Robin Oakes. A doctor uses one of the spikes from the glass ring to successfully operate on Robin’s younger brother. The ring eventually leads the group to a town called Mary’s Rest. Swan, Josh, and Rusty are traveling entertainers. Rusty performs magic and music while Josh wrestles as the “Masked Mephisto” and performs feats of strength. Swan usually hides in the wagon or in a barn when they come to settlements because her Job’s Mask is so extensive that she is blind and uses Crybaby as a walking stick to feel her way around. Josh has Job’s Mask too, but he hides it under his wrestling mask. They stop at a house in the middle of a stripped orchard. All the trees for a distance around are cut down, but one lone tree is left standing. The couple in the house explain that the one tree was a special apple tree that they just didn’t have the heart to cut down. Swan wanders out to the tree, places her hands on it and is shocked to feel life still in the tree. It calls to her unique ability with plants, which has been neglected due to the lack of living plants in the world. She responds and ‘wakes’ the tree up. The next morning, the tree is covered with blossoms. Everyone is amazed. Swan, Josh, and Rusty decide to continue on to the close-by settlement of Mary’s Rest. The Man with the Scarlet Eye has been searching for Sister and her magical glass ring all this time. He finds out about Swan and decides that she is a threat to him. He hears that she is heading to a place called Mary’s Rest and decides to meet her there. At Mary’s Rest, Swan finds the body of a child who was scrabbling in the dirt when he died. Swan finds the corn that the child was trying to plant and decides to honor the child’s memory by finishing what the child started; she starts planting the corn using her special ability to encourage the ground to be fertile and the seeds to grow. She hurts her hands digging in the frozen ground and passes out. Josh finds her and carries her back to the house they are staying in. While she is unconscious, the Man with the Scarlet Eye finds her and almost kills her. Rusty interferes and saves her but is fatally burned. Paul and Sister arrive in town. Sister realizes that the ring has been leading her to Swan. When Swan touches the ring, it blazes with light. She envisions a land covered with plants, orchards, fruit, and flowers, and knows this is her life’s goal. She loses consciousness again, but this time she is very fevered. Swan’s hands heal almost immediately and her Job’s Mask breaks up and falls off, revealing a beautiful woman with fiery red hair. Other people’s Job’s Masks begin falling off, too, and what lies beneath reflects their true souls – most beautiful and strong, but there are some monsters, too. Josh develops a close relationship with a local woman, Glory, and her son Aaron. Despite a prickly start, Swan and Robin begin to fall in love. Aaron figures out how to use the dowsing rod Crybaby and it indicates a source of fresh untainted water. The man with the apple tree drives into town with a truckload of ripe apples and tosses them to a happy crowd. Swan and the residents of Mary’s Rest decide to plant an apple orchard to go along with the cornfield, which sprung up almost overnight and is growing vigorously. The Man with the Scarlet Eye introduces himself as “Friend” to the Army of Excellence and diverts them to Mary’s Rest with promises of clean water and Swan’s ability to grow food. They attack the town. Many residents, including Paul, are killed, and the AOE take Josh, Sister, Swan, Robin, and others captive. Swan and Sister are brought to Macklin, whose Mask has fallen off to reveal a hideous death’s head. Friend attempts to get the location of the glass ring from Sister, but is unable to get past her mental guards. Even under threat of the torture of her friends, Swan refuses to do anything for the AOE. She and Sister are thrown in with Sheila. Robin and Josh are kept as leverage on Swan and the AOE continues towards Warwick Mountain. Several weeks later, the AOE runs out of supplies and a much reduced army arrives at Warwick Mountain. Croninger’s Job’s Mask reveals a twisted horror which he continues to hide under bandages. He shifts his allegiance to Friend. Brother Timothy guides Sister, Swan, Friend, Macklin and Croninger to “God’s” bunker. Sister notices God’s cufflinks and recognizes him as the president, who crashed close by and was brought to the bunker by people who have since died. He has since gone insane. The bunker is revealed to be a location to launch a global final strike of nuclear missiles from satellite platforms. It is powered by hydro-electricity. The president has been waiting for any indication that the world is going to good or evil. Friend sees this as an opportunity to destroy the world and convinces the president to begin the launch sequence. Friend then kills the president, gloats about the situation, reveals his true face, tells Roland ""I have always walked alone"" and leaves, presumably to find a place to watch the destruction. Sister fights with Croninger, who shoots her and almost shoots Swan before being attacked by a conscience-stricken Macklin. They take each other down. Swan figures out the deactivation sequence and disarms the launch computer. She and Sister are rescued by Josh and Robin, who broke out of captivity shortly after the AOE arrived at Warwick Mountain. They leave the bunker, locking it behind them and throwing away the key. Mortally wounded, Sister notices her shadow and begs to be taken where she can see the sun. Josh, Swan, and Robin take her to a clearing where they watch the end of the nuclear winter as the clouds break up and the sun comes out. Sister tells Swan to work fast to wake up the earth. She then dies. Swan, Josh, and Robin bury her and climb down the mountain. They find the AOE in chaos and they leave in a truck with Sheila and some other people. They come across a farmer and his family planting seeds who offers them hospitality. Josh tells Swan that she needs to start her work here, but he is going ahead to Mary’s Rest. He arrives to the welcoming arms of Glory and Aaron. The story ends with humanity struggling back toward civilization, building settlements, and restoring order. The armies of violence become disarrayed and dissolve away. Swan’s ability to wake up the earth is the stuff of legends. She and Robin eventually make it to Mary’s Rest and have twins named Joshua and Sister. Swan continues her work healing the land, fostering cooperation, and bringing hope to humankind.",17.0,9.384615384615383,960.0,No,No,No,,
Absolute Power,Ray Russell,1996.0,"['speculative', 'crime', 'thriller']"," An experienced burglar, Luther Whitney, breaks into a billionaire's house with the intent of robbing it. While there, he witnesses the President of the United States and the billionaire's wife having sex; however, their lovemaking turns violent and Secret Service agents burst in and kill the woman. Whitney escapes, but not before the Secret Service learns of his presence; they blame the wife's murder on Whitney. Whitney goes on the run from the President's agents while a detective tries to piece together the crime.",52.0,7.666666666666667,505.0,No,Yes,No,,
Servant of the Bones,Anne Rice,1996.0,"['speculative', 'fantasy', 'childrens', 'mystery', 'historical', 'horror']"," Azriel is telling the story of his transformation into and subsequent existence as an immortal genii who is forced to obey the Master who calls him. Over centuries, Azriel becomes less obedient to the Masters and a warning is placed on the casket of his bones that he is not to be summoned lest his evil be loosed upon the undeserving world. After many centuries of rest, Azriel finds himself awake and in New York City, a dazed witness to the murder of a young woman, Esther Belkin. He becomes inexplicably obsessed with the desire to avenge her death and to find out who called him into the physical world in time to see Esther die but not in time to save her. This quest leads him to the girl's stepfather, Gregory Belkin, who would pay any price to fulfill his messianic dream via his immense worldwide religious organization, the Temple of the Mind of God. As his quest approaches its climax, he risks his supernatural powers to forestall an attempt to destroy the world thus redeeming what was denied him for so long: his own eternal human soul.",50.0,7.148148148148148,387.0,No,Yes,No,,
The Prestige,Christopher Priest,1995.0,"['speculative', 'science', 'fantasy', 'mystery', 'suspense']"," The events of the past are revealed primarily through the diaries of magicians Rupert Angier and Alfred Borden. The diaries are read by their grandchildren and chapters of present day are interspersed throughout the novel. The two fledgling magicians begin a feud when Borden breaks up a fake seance being put on by Angier and his wife for one of Borden's relatives. During the scuffle, Angier's wife is thrown to the ground and results in a miscarriage. The two magicians begin to go back and forth for many years as they rise to become world-renowned stage magicians. Borden develops a teleportation act called The Transported Man, and an improved version named The New Transported Man, which appears to move him from one closed cabinet to another in the blink of an eye without appearing to pass through the intervening space. The act seems to defy physics and puts all previous acts to shame. Over the course of the diaries we learn Alfred Borden is the name used by identical twin brothers, Albert and Frederick. Both men are living the life of Alfred, committed to maintaining their secret to ensure their professional success with The New Transported Man. Angier suspects that Borden uses a double, but dismisses the idea when he cannot find evidence to prove it. Unable to discern the method that Borden uses, Angier desperately tries to equal him, and with the help of the acclaimed physicist Nikola Tesla, develops an act named In A Flash, which has a similar result, though a starkly different method. For Angier's trick, Tesla successfully creates a device capable of teleporting a being from one place to another, but which has a surprising side-effect. As well as recreating the subject wherever is designed by the device, the original, now lifeless, body of the subject is also left behind in its original position, forcing Angier to devise a way to conceal it to preserve the illusion. Angier, with bitter humour refers to these shells as 'prestiges'. Angier's new act is equal to Borden's. Borden, in retaliation, attempts to discover how In A Flash is performed. During one performance he breaks into the backstage area and turns off the power to Angier's device during the act itself. As a result, the teleportation is incomplete, and both the new Angier and the old, 'prestige' Angier continue to live, though the old feels constantly weak while the new seems to lack physical substance. The real Angier fakes the death of his magic act alter-ego and returns to his family estate, where he becomes terminally ill. The clone Angier, alienated from the world by his ghostly form and discovering Borden's secret, attacks one of the twins before a performance. However, Borden's apparent poor health and Angier's sense of morality intervene and Angier does not go through with the murder. It is implied that this particular Borden dies a few days later, and the incorporeal Angier travels to meet the corporeal Angier, now living as Lord Colderdale. They obtain Borden's diary and publish it without revealing the twins' secret. Shortly afterwards, the corporeal Angier dies and his ghostly clone uses the device to teleport himself into the body, hoping that either he will return it back to life and be one person again, or kill himself instantly. It is revealed in the final chapter that some form of Angier has continued to survive to the present day.",2.0,9.0,404.0,No,Yes,No,,
An Acceptable Time,Madeleine L'Engle,1989.0,"['speculative', 'science', 'fantasy', 'childrens', 'young adult']"," Happy to be away from her large family for a while, Polly O'Keefe is spending the autumn with her maternal grandparents, Dr. Kate Murry and Dr. Alex Murry, getting a better education from them in science than she would have received at home. Soon, however, surprising things start to happen, including the unexpected arrival of Zachary Gray, a charming but troubled college student whom Polly met in Greece and dated on Cyprus the year before (in A House Like a Lotus). Then, while walking near her grandparents' Connecticut home, Polly meets druids Karralys and Anaral and a warrior named Tav, all of whom lived in the area some three thousand years ago. She soon learns that she is not the first person from her time to meet the Murrys' Pre-Columbian neighbors. Bishop Nason Colubra, the brother of a family friend, Dr. Louise Colubra, has been investigating the hieroglyphs found on rocks in nearby, relics of Karralys' time. In doing so, he has also come into repeated contact with Anaral's tribe, the People of the Wind (a tribe that previously appeared in A Swiftly Tilting Planet). The retired bishop is initially reluctant to discuss this, having been met with his sister's skepticism in previous attempts. However, he feels responsible for exposing Polly to the potential dangers of a tesseract of intersecting periods of time. The Murrys and the Colubras try to protect Polly from being drawn into the past, but although she tries to obey their restrictions on her movements, she continues to encounter Anaral and the others. Karralys and Tav formerly lived in ancient Britain, but have since crossed the ocean and made their home with the People of the Wind. On Samhain, Polly feels a compulsion to visit the Murrys' indoor swimming pool, the modern location of a site considered sacred by Karralys and Anaral. Polly is suddenly transported to the past, where she learns that Tav wants to offer Polly in blood sacrifice in order to avert a drought. Already the People Across the Lake are conducting raids due to the privations of drought, and Tav wants to protect his adopted people. Karralys sends Polly home. Zachary, however, is intrigued when he learns that the odd people he has seen are from the ancient past. His heart, previously seen as damaged by rheumatic fever in the Austin family novel The Moon by Night, is now so weak that he does not expect to live much longer. On the slight possibility that the solution to his problem lies with the ancient druids, Zach rashly leads Polly back to the star-watching rock, a place where Polly found herself in the past once before. Polly and Zach are drawn through a time gate and trapped in ancient Connecticut, with neither the Murrys nor Louise Colubra there to help Polly out of a potentially fatal situation. Tav soon changes his mind about whether his goddess wants Polly to be sacrificed. Her primary danger is not from the People of the Wind, but from their neighbors across the lake, where the drought is more severe. The People Across the Lake conduct another raid, and leave behind two of their injured members as they withdraw. One of them, Klep, is expected to be his tribe's future leader. He develops an attachment to his healer, Anaral, and learns from Polly the concept of love. The other injured man, Brown Earth, persuades Zachary to cross the lake with him during the night. Tynak, the current leader of the People Across the Lake, promises to let the tribe's medicine man heal Zachary's heart if he helps bring Polly to them. Zach agrees. He participates in another raid, with Polly's capture as the goal. Polly tries to convince Zach that the People Across the Lake intend to sacrifice her for her blood, but he refuses to admit this. Polly escapes, but returns for Zachary's sake. Ultimately, Polly's spirit of self-sacrifice and love, accompanied by the timely return of rain on her captors' side of the lake, wins out as a better way to interact with the Divine than an offering of death. The two tribes agree to unite and help each other. Zachary repents his betrayal of Polly, and his heart is physically healed (at least in part) before they return to their own time. When they return Polly tells Zachary they shouldn't see each other any more.",13.0,7.428571428571429,343.0,No,No,"Time Quintet,Polly O'Keefe",Many Waters,
The Colour of Magic,Terry Pratchett,1990.0,"['speculative', 'science', 'fantasy']"," The main character is an incompetent and cynical wizard named Rincewind. He involuntarily becomes a guide to the rich but naive tourist from the Agatean Empire, Twoflower. Forced to flee the city of Ankh-Morpork to escape a terrible fire that was caused by a bartender who misunderstood the concept of insurance, which Twoflower told him about, they begin on a journey across the Disc. Unknown to them, their journey is controlled by the Gods playing a board game. Rincewind and Twoflower are controlled by the Lady, and is pitted against the champions of Zephyrus, the god of slight breezes, Fate and Offler the Crocodile God, in the game supervised by Blind Io. The duo face a mountain troll and are separated. The ignorant Twoflower ends up being led to the Temple of Bel-Shamharoth, and Rincewind ends up in a tree-nymph inhabited tree. Rincewind manages to escape while the tree-nymphs try to kill him and is reunited with the tourist. Together with Hrun the Barbarian, they escape from the Temple of Bel-Shamharoth the Soul Eater, which collapses. Later, Hrun agrees to travel with and protect Twoflower and Rincewind in exchange for Heroic pictures of him from Twoflower's magical picture box. They visit Wyrmberg, an upside-down mountain which is home to dragons that only exist in the imagination. The names of the dragons' riders feature punctuation in the middle, making reference and parody of the Dragonriders of Pern series by Anne McCaffrey. They nearly go over the waterfall on the edge of the Disc, only to be rescued and taken to the country of Krull, a city perched on the very edge of the Discworld inhabited by hydrophobic wizards. The Krullians wish to discover the gender of Great A'Tuin, the giant turtle which carries the Discworld through space, so they have built a space capsule to launch over the Edge. They intend on sacrificing Rincewind and Twoflower to get Fate to smile on the voyage. Instead, Rincewind, Twoflower and Tethis the sea troll hijack the capsule in an attempt to escape and are launched off the Disc themselves.",1.0,,,No,Yes,Discworld1st novel – 1st Rincewind story,,The Light Fantastic
Groosham Grange,Anthony Horowitz,1988.0,"['fantasy', 'mystery', 'adventure']","David Eliot is a 12 year old boy who’s arrived home for the Christmas holidays. He’s just been expelled from Beton College (a parody of Eton College) and nervously tells his parents the bad news. Upon hearing the news, his father reacts rather badly, forcing David to take refuge in his room to avoid the commotion. The next morning, a letter is delivered to the Eliot household that offers David a place at a mysterious new school that’s bizarrely described having an emphasis on discipline in nearly the exact same way that David’s father was just telling his wife.[4]
",0.0,,128.0,No,No,Groosham Grange,Return to Groosham Grange,
Unnatural Exposure,Patricia Cornwell,1997.0,"['mystery', 'suspense', 'crime']"," Virginia Chief Medical Examiner Kay Scarpetta has a bloody puzzle on her hands: five headless, limbless cadavers in Ireland, plus four similar victims in a landfill back home. Is a serial butcher loose in Virginia? That's what the panicked public thinks, thanks to a local TV reporter who got the leaked news from Scarpetta's rival, Investigator Percy Ring. But this is no run-of-the-mill serial killer. A shadowy figure has plans involving mutant smallpox, mass murder, and messing with Scarpetta's mind by e-mailing her gory photos of the murder scenes, along with cryptic AOL chat-room messages. Central to the plot is the case of Janet Parker, the last person known to have died of smallpox, which she contracted in 1978 due to a lab accident in Birmingham, England, after the disease was eradicated in the wild. Cornwell makes the villain a junior employee of the lab at the time who was made a scapegoat for the accident and whose career was blighted as a result. This provides the plot with a credible source for the virus and a motive for the central crime.",106.0,7.836065573770492,367.0,No,No,Kay Scarpetta,Cause of Death,Point of Origin
In the Presence of Mine Enemies,Harry Turtledove,2003.0,"['speculative', 'science', 'historical', 'alternate', 'dystopia']"," Wehrmacht officer Heinrich Gimpel astonishes his 10-year-old daughter, Alicia, with a secret that has been hidden from her all her life: the family is Jewish. He explains that the Gimpels, friends Walther and Esther Stutzman, and their extended families all belong to those remnants of Jews who now survive by hiding in plain sight within the very society that wants them dead. Now old enough, by family tradition, to be trusted with this life-or-death deception, Alicia is obliged to hide the truth from her friends, her classmates, and even her younger sisters even as she is forced to regard her school's racist curriculum from a new perspective that leaves her sick and angry over all the anti-Semitic propaganda that she always learned and parroted without question. Meanwhile, Heinrich finds himself caught in the marital strife between his co-worker, Willi Dorsch, and Willi's wife, Erika. Embittered by her husband's infidelity, Erika wants a retaliatory affair with Heinrich. He resists, which leads to Erika accusing him of being a Jew and Heinrich being arrested by the SS. Only after Erika realizes that her accusation caused Heinrich's children to be taken also, she confesses that she lied, unaware the entire time that Heinrich and his family really are Jewish. Esther Stutzman, who works as a receptionist in a doctor's office, also experiences a close call with Nazi policies when her friends Richard and Maria Klein, closeted Jews like herself, bring their ailing eight-month-old baby, Paul, in for a checkup. The diagnosis, Tay-Sachs disease, is a disease known to be prevalent among Jews. A subsequent investigation into his family background would spell doom for his parents and any names they might be forced to reveal under torture. Although Esther's husband, Walther, is able to hack into the Reich's computer network and change the Klein's family history, it is the revelation that Reichsführer-SS Lothar Prützmann has a nephew with Tay-Sachs that brings the investigation to a halt. All of this happens against the background of the events happening after the death of the current Führer, Kurt Haldweim. He is replaced by the reform-minded Heinz Buckliger, who relaxes the oppressive laws of the Reich. In a secret speech, with word-of-mouth spreading it to the populace, the new Führer denounced his predecessors, saying that the Reich committed crimes in the past. Reactionary opposition rallies around the SS, while the populist Gauleiter of Berlin, Rolf Stolle, champions accelerated reform. Things come to a head with the announcement of (relatively) free elections: candidates need not be Nazi Party members, but they must be Aryan. Led by Reichsführer-SS Lothar Prützmann, the SS effect a conservative coup d'état, imprisoning the Führer, and installing former High Commissioner of Ostland Affairs, Odilo Globocnik, as the new Führer. However, Stolle instigates a people power movement, which the Wehrmacht supports. The coup d'état is defeated after Walther Stutzman salts the country's computer network with the information about Reichsführer-SS Prützmann's Tay-Sachs afflicted nephew. Soon, Berlin comes to the conclusion that Prützmann is a Jew, which definitively turns the tide against the coup. In the aftermath, Prützmann kills himself, and Globocnick is lynched.",1.0,,464.0,No,No,No,,
Fevre Dream,George R. R. Martin,1982.0,"['speculative', 'science', 'fantasy', 'horror']"," Abner Marsh, a remarkably unattractive but highly skilled steamboat captain, is grappling with a financial crisis in 1857 when he is contacted by Joshua York, a rich, soft-spoken gentleman. They become unlikely business partners, with Joshua winning Abner over by promising to finance the construction of a magnificent new steamboat that will be larger, faster, and more opulent than any other riverboat ever constructed: the pride of the Mississippi River. When finally completed, she is everything Abner has ever dreamed of piloting. The large white, blue, and silver paddle steamer is christened Fevre Dream, for Abner's previously-failing company, the Fevre River Packet Company; Joshua and Abner co-captain the new vessel, with Abner being solely responsible for her actual command and navigation. Many questions are soon raised by both the crew and passengers about Joshua York and his circle of unusual friends, who hardly ever venture out of their cabins during daylight hours. Abner's own suspicions about his mysterious partner begin to grow when he finds scrapbooks in Joshua's cabin containing newspaper clippings detailing many mysterious, unexplained deaths. He confronts Joshua, who reveals that he and his friends are vampire hunters; they are using the Fevre Dream as their base of operations to investigate a trail of unusual deaths and disappearances along the mighty river. In time, however, Joshua finally reveals the whole truth: he and his friends are themselves vampires, very humanlike living beings specialized to and recurrently dependent upon hunting humans, characterized by Joshua as ""... a different race."" Many of Joshua's kind consider him the ""Pale King"" lord (or ""bloodmaster"") to all vampires, and all of his traveling companions have submitted to him as such. Joshua has developed a potion, using ancient alchemy and the rudiments of the chemistry of the day, which controls the blood-fever of all vampires; he is on a personal crusade to free his people of their need to feed on the warm, living blood of humanity. The evil and amoral Damon Julian, a rival bloodmaster, formerly of New Orleans, soon learns of Joshua's efforts; he boards the Fevre Dream with his own entourage of vampire followers and manages to overpower and depose Joshua, becoming the new Pale King of all vampires aboard the riverboat. Damon forces Abner out and begins to use the Fevre Dream for his own nefarious purposes, eventually disappearing down the river, never to be seen or heard from again. Abner becomes obsessed with his lost, now demonic ship, and spends his remaining fortune searching up and down the Mississippi and its tributaries, until he is finally forced to give up the search. Marsh later serves as a naval officer during the American Civil War, all the while being haunted by the memory of his lost riverboat. Some years later, after receiving a surprising letter from Joshua, a much older Abner Marsh returns and vows to help Joshua finally depose of the evil bloodmaster who has ruined both of their dreams. But this proves to be a very difficult task; the vampires eventually square-off, and with Abner's aid, Joshua finally overpowers Damon and becomes the Pale King once again. In the process, Marsh finally discovers the horrible fate that has befallen his beloved Fevre Dream. The novel closes many decades later by suggesting that all vampires, though still effectively immortal, were eventually freed from their blood addiction by Joshua's potion and Abner's brave efforts on their behalf; they make nighttime pilgrimages to Abner's grave overlooking the Mississippi, continuing to honor his heroic contribution to their cause of freedom.",4.0,10.0,350.0,No,No,No,,
