author,books,genres,subgenres,classic,narrator
Katie Fforde ,"['Stately Pursuits', 'Second Thyme Around', 'Practically Perfect', 'Restoring Grace', 'Bidding for Love', 'Highland Fling', 'Wild Designs', 'Life Skills', 'Artistic License']",['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,third-person
Padma Venkatraman ,['Climbing the Stairs'],['Romance'],['Historical Fiction'],no,third-person
Emma Bull ,"['War for the Oaks', 'Territory']","['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Historical Fiction', 'Historical Fantasy']",no,first-person
Nyrae Dawn ,"['Dizzy', 'Facade']",['Romance'],['Contemporary Romance'],no,first-person
Susan Kaye Quinn ,['Open Minds'],"['Science Fiction', 'Fantasy', 'Romance']","['Paranormal', 'Paranormal Romance']",no,third-person
William Sleator,"[""The Boy Who Couldn't Die"", 'Hell Phone', 'Singularity']","['Horror', 'Fantasy', 'Science Fiction']","['Zombies', 'Paranormal', 'Time Travel']",no,third-person
Alyssa Day ,"['Atlantis Rising', 'Atlantis Redeemed', 'Atlantis Unleashed', 'Atlantis Awakening', 'Vampire in Atlantis', 'Atlantis Betrayed']","['Romance', 'Fantasy']","['Paranormal Romance', 'Paranormal', 'Vampires', 'Urban Fantasy', 'Magic']",no,third-person
Sarah McCarty,"[""Sam's Creed""]",['Romance'],"['Historical Romance', 'Erotic Romance', 'Historical Fiction']",no,third-person
Cliff McNish ,"['Breathe: A Ghost Story', 'The Silver Child']","['Horror', 'Fantasy', 'Science Fiction']","['Paranormal', 'Magic']",no,third-person
Jesse Petersen ,['Married with Zombies'],"['Horror', 'Romance', 'Science Fiction']","['Paranormal', 'Post Apocalyptic']",no,first-person
Marianne de Pierres ,['Burn Bright'],"['Fantasy', 'Science Fiction', 'Romance']","['Paranormal', 'Urban Fantasy']",no,third-person
Richard Peck,"['Are You in the House Alone?', 'Ghosts I Have Been']","['Horror', 'Fantasy']","['Realistic Fiction', 'Historical Fiction', 'Paranormal']",no,omniscent
Sabrina James ,['Secret Santa'],['Romance'],['Realistic Fiction'],no,third-person
Elizabeth Hand,"['Waking the Moon', 'The X-Files: Fight the Future']","['Fantasy', 'Horror', 'Science Fiction']","['Urban Fantasy', 'Paranormal']",no,omniscent
Lauren Groff ,['The Monsters of Templeton'],['Fantasy'],['Historical Fiction'],no,third-person
J.L. Bryan ,['Jenny Pox'],"['Fantasy', 'Horror', 'Romance']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,omniscent
Tracy Rees,['Amy Snow'],['Romance'],"['Historical Fiction', 'Historical Romance']",no,omniscent
Jen Calonita ,"['Secrets of My Hollywood Life', 'Family Affairs', 'On Location', 'Broadway Lights', 'Flunked']","['Romance', 'Fantasy']","['Realistic Fiction', 'Magic']",no,first-person
Shelley Adina ,['Lady of Devices'],"['Fantasy', 'Science Fiction', 'Romance']","['Historical Fiction', 'Urban Fantasy']",no,omniscent
Heidi R. Kling ,['Sea'],"['Romance', 'Fantasy']","['Realistic Fiction', 'Paranormal']",no,first-person
Franny Billingsley,['Chime'],"['Fantasy', 'Romance']","['Historical Fiction', 'Paranormal']",no,third-person
C.M. Owens ,"['Becoming A Vincent', 'Loving War', 'Hooked on the Game', 'Breaking Even']",['Romance'],"['Contemporary Romance', 'Comedy', 'Erotic Romance']",no,third-person
Connie Brockway ,"['The Bridal Season', 'As You Desire', 'All Through the Night']",['Romance'],"['Historical Romance', 'Historical Fiction']",no,third-person
Sarah Langan ,['The Keeper'],"['Horror', 'Fantasy']",['Paranormal'],no,third-person
Mayandree Michel,['Betrayal'],"['Fantasy', 'Romance']","['Paranormal', 'Historical Fiction', 'Magic', 'Paranormal Romance']",no,omniscent
Caitlin Kittredge,"['The Iron Thorn', 'Demon Bound', 'Bone Gods']","['Fantasy', 'Science Fiction', 'Romance']","['Paranormal', 'Magic', 'Urban Fantasy', 'Demons', 'Paranormal Romance']",no,first-person
Cathy Marie Hake,"['Letter Perfect', 'Bittersweet', 'Forevermore']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,first-person
Kevin J. Anderson ,"[""The Emperor's Plague"", 'Ground Zero', 'Ill Wind', 'Resurrection Inc', 'Return to Ord Mantell', 'Crisis at Crystal Reef']","['Science Fiction', 'Fantasy', 'Horror']","['Space', 'Paranormal', 'Post Apocalyptic', 'Cyberpunk', 'Magic']",no,third-person
Kelly Gay ,['The Better Part of Darkness'],"['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Magic', 'Demons', 'Paranormal Romance']",no,second-person
L.A. Kelly,['Tahn'],"['Fantasy', 'Romance']",['Historical Fiction'],no,third-person
Nagaru Tanigawa,"['The Melancholy of Haruhi Suzumiya, Vol. 1', 'The Boredom of Haruhi Suzumiya', 'The Sigh of Haruhi Suzumiya', 'The Melancholy of Haruhi Suzumiya, Vol. 3', 'The Melancholy of Haruhi Suzumiya, Vol. 2']","['Fantasy', 'Science Fiction', 'Romance']","['Comedy', 'Paranormal']",no,third-person
Leigh Nichols ,['Shadow Fires'],"['Horror', 'Science Fiction']",['Paranormal'],no,omniscent
Coleen Murtagh Paratore,"[""The Wedding Planner's Daughter"", 'From Willa, With Love', 'The Cupid Chronicles']",['Romance'],"['Realistic Fiction', 'Contemporary Romance']",no,third-person
Shannon K. Butcher ,"['Burning Alive', 'Finding the Lost', 'Running Scared']","['Romance', 'Fantasy']","['Paranormal Romance', 'Paranormal', 'Urban Fantasy', 'Demons', 'Vampires', 'Magic']",no,third-person
Alex Duval,"['Bloodlust', 'Legacy', 'Ritual', 'Initiation']","['Fantasy', 'Romance', 'Horror', 'Science Fiction']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Paranormal Romance']",no,third-person
Anastasia Hopcus ,['Shadow Hills'],"['Fantasy', 'Romance']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy', 'Magic']",no,third-person
Jhonen Vasquez,['Johnny The Homicidal Maniac #1'],"['Horror', 'Fantasy']",['Comedy'],no,third-person
Ann H. Gabhart ,"['Angel Sister', 'Words Spoken True']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
Denise Hunter ,"['Sweetwater Gap', 'The Convenient Groom', 'Surrender Bay', 'Mending Places']",['Romance'],['Contemporary Romance'],no,third-person
Eden Maguire,['Jonas'],"['Fantasy', 'Romance']","['Paranormal', 'Zombies', 'Paranormal Romance']",no,third-person
Emma Michaels,['The Thirteenth Chime'],"['Horror', 'Fantasy', 'Romance']",['Paranormal'],no,third-person
H.M. Ward ,"['Damaged', 'Cursed', 'Torn', ""Satan's Stone""]","['Romance', 'Fantasy']","['Contemporary Romance', 'Paranormal', 'Demons', 'Paranormal Romance', 'Urban Fantasy', 'Magic']",no,omniscent
Michaela MacColl ,['Prisoners in the Palace'],['Romance'],['Historical Fiction'],no,third-person
Anthony Trollope,"['Dr. Thorne', 'Can You Forgive Her?', 'The Small House at Allington']",['Romance'],['Historical Fiction'],classic,second-person
Donna Jo Napoli ,"[""Hush: An Irish Princess' Tale"", 'Beast']","['Fantasy', 'Romance']",['Historical Fiction'],no,first-person
Courtney Cole ,"['If You Stay', 'Confessions of an Alli Cat']",['Romance'],['Contemporary Romance'],no,third-person
John Welter,"['Night of the Avenging Blowfish: A Novel of Covert Operations, Love, and Luncheon Meat']",['Romance'],['Comedy'],no,third-person
D.B. Reynolds ,['Rajmund'],"['Romance', 'Fantasy']","['Vampires', 'Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,second-person
Eca de Queiros,['The Crime of Father Amaro'],['Romance'],['Historical Fiction'],classic,omniscent
Siri Mitchell ,"['A Constant Heart', 'She Walks in Beauty']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,omniscent
Julia Donaldson,['The Gruffalo'],['Fantasy'],['Monsters'],classic,third-person
Catherine Bybee ,"['Single by Saturday', 'Wife by Wednesday']",['Romance'],['Contemporary Romance'],no,first-person
Jennifer Martucci,['Planet Urth'],"['Science Fiction', 'Fantasy', 'Romance']",['Post Apocalyptic'],no,omniscent
Jill Murphy,"['A Bad Spell for the Worst Witch', 'The Worst Witch', 'The Worst Witch and the Wishing Star', 'First Prize for the Worst Witch', 'The Worst Witch Strikes Again', 'The Worst Witch Saves the Day', 'The Worst Witch All at Sea']",['Fantasy'],"['Magic', 'Paranormal']",no,third-person
Rose Tremain,"['The Road Home', 'The Colour', 'Restoration']",['Romance'],['Historical Fiction'],no,third-person
Barbara Michaels,['Stitches in Time'],"['Romance', 'Fantasy']",['Paranormal'],no,first-person
Jenna Moreci ,"[""The Savior's Champion""]","['Fantasy', 'Romance']",['High Fantasy'],no,omniscent
John Christopher,"['The White Mountains', 'The Prince in Waiting', 'The Death of Grass']","['Science Fiction', 'Fantasy', 'Horror']",['Post Apocalyptic'],no,omniscent
Amin Maalouf ,['Ports of Call'],['Romance'],['Historical Fiction'],no,first-person
Rachel Vail ,"['Lucky', 'If We Kiss', 'You, Maybe: The Profound Asymmetry of Love in High School', 'Gorgeous']","['Romance', 'Fantasy']","['Realistic Fiction', 'Contemporary Romance']",no,third-person
Berkeley Breathed,['Goodnight Opus'],['Fantasy'],['Comedy'],no,omniscent
Dianne Sylvan ,"['Queen of Shadows', ""Shadow's Fall"", 'Of Shadow Born', 'Shadowflame']","['Romance', 'Fantasy']","['Urban Fantasy', 'Vampires', 'Paranormal', 'Paranormal Romance', 'Magic']",no,third-person
Shana Abe ,"['The Last Mermaid', 'Intimate Enemies']","['Romance', 'Fantasy']","['Paranormal Romance', 'Paranormal', 'Historical Romance', 'Magic', 'Historical Fiction']",no,third-person
Denise Grover Swank ,"['Twenty-Eight and a Half Wishes', 'Redemption', 'Sacrifice', 'Hunted', 'Chosen', 'Redesigned']","['Romance', 'Fantasy', 'Science Fiction']","['Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Magic', 'Contemporary Romance', 'Realistic Fiction']",no,third-person
Gaelen Foley ,['The Pirate Prince'],"['Romance', 'Fantasy']","['Historical Romance', 'Historical Fiction']",no,third-person
Susanne Dunlap ,"[""The Musician's Daughter""]",['Romance'],['Historical Fiction'],no,third-person
Susan Wilson ,['Beauty'],"['Romance', 'Fantasy']",['Contemporary Romance'],no,third-person
Greg Iles ,['Sleep No More'],['Horror'],['Paranormal'],no,omniscent
David Drake,"['An Oblique Approach', 'With the Lightnings']","['Science Fiction', 'Fantasy']","['Historical Fiction', 'Time Travel', 'Space']",no,first-person
Maggi Myers ,['The Final Piece'],['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,third-person
Chuck Grossart ,['The Gemini Effect'],"['Science Fiction', 'Horror', 'Fantasy']",['Post Apocalyptic'],no,first-person
Roan Parrish ,['Out of Nowhere'],['Romance'],['Contemporary Romance'],no,third-person
Roland Merullo ,['A Little Love Story'],['Romance'],['Contemporary Romance'],no,omniscent
Gary Russell,['Doctor Who: The Glamour Chase'],"['Science Fiction', 'Fantasy']",['Time Travel'],no,third-person
Elle Casey ,"['Shine Not Burn', 'MacKenzie Fire']",['Romance'],['Contemporary Romance'],no,first-person
James A. Michener,"['Space', 'Caravans']","['Science Fiction', 'Romance']","['Historical Fiction', 'Space']",no,first-person
Jeanne C. Stein,"['The Becoming', 'Blood Drive', 'The Watcher', 'Legacy', 'Chosen', 'Retribution', 'Crossroads', 'Haunted', 'Blood Bond']","['Fantasy', 'Romance']","['Urban Fantasy', 'Vampires', 'Paranormal', 'Paranormal Romance', 'Magic']",no,third-person
Mem Fox,['Possum Magic'],['Fantasy'],['Magic'],classic,third-person
Cameron Dokey,"[""The Storyteller's Daughter: A Retelling of the Arabian Nights"", 'Belle: A Retelling of Beauty and the Beast', 'Golden: A Retelling of Rapunzel', 'Beauty Sleep: A Retelling of Sleeping Beauty']","['Fantasy', 'Romance']","['Historical Fiction', 'Magic']",no,omniscent
Justine Larbalestier,['Team Human'],"['Fantasy', 'Romance']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Zombies']",no,omniscent
Jonathan L. Howard ,['Johannes Cabal the Necromancer'],"['Fantasy', 'Horror']","['Urban Fantasy', 'Paranormal', 'Vampires']",no,third-person
Pauline Gedge,"['Child of the Morning', 'Scroll of Saqqara', 'The Eagle and the Raven', 'Lady of the Reeds', 'House of Illusions', 'The Twelfth Transforming']","['Romance', 'Horror', 'Fantasy']",['Historical Fiction'],no,omniscent
Karly Kirkpatrick ,['Bloody Little Secrets'],"['Fantasy', 'Romance']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Paranormal Romance']",no,first-person
Oli Smith,['Doctor Who: Nuclear Time'],"['Science Fiction', 'Fantasy']",['Time Travel'],no,omniscent
Phoebe Stone,"['Deep Down Popular', 'The Boy on Cinnamon Street']",['Romance'],['Realistic Fiction'],no,third-person
Jennifer Roberson ,"['Lady of the Glen: A Novel of 17th-Century Scotland and the Massacre of Glencoe', 'Sword-Sworn', 'Sword-Born', 'Sword-Breaker', 'Sword-Maker', 'Sword-Singer', 'Sword-Dancer', 'Lady of the Forest']","['Romance', 'Fantasy', 'Science Fiction']","['Historical Fiction', 'Historical Romance', 'Sword and Sorcery', 'Epic Fantasy', 'Magic', 'High Fantasy']",no,omniscent
Madame de La Fayette,['The Princesse de Cleves'],['Romance'],['Historical Fiction'],classic,third-person
Patrick McGrath,['Asylum'],"['Horror', 'Romance']",['Historical Fiction'],no,third-person
Louise Plummer,['The Unlikely Romance of Kate Bjorkman'],['Romance'],['Realistic Fiction'],no,third-person
Patrice Kindl,['The Woman in the Wall'],"['Fantasy', 'Romance']",['Realistic Fiction'],no,first-person
Jean Plaidy,"['Beyond the Blue Mountains', 'The Rose Without a Thorn', 'Victoria Victorious: The Story of Queen Victoria']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
David Ambrose,['Superstition'],"['Horror', 'Fantasy']",['Paranormal'],no,first-person
Rachel Gibson ,"['True Love and Other Disasters', 'Simply Irresistible', 'True Confessions', ""I'm In No Mood For Love"", ""The Trouble With Valentine's Day"", 'Truly Madly Yours', 'Tangled Up In You', 'Nothing But Trouble', 'See Jane Score']",['Romance'],['Contemporary Romance'],no,third-person
John Harwood ,"['The Ghost Writer', 'The Seance']",['Horror'],"['Historical Fiction', 'Paranormal']",no,third-person
Avery Williams ,"['The Alchemy of Forever', 'The Impossibility of Tomorrow']","['Fantasy', 'Romance', 'Science Fiction']","['Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Magic']",no,third-person
Evelyn R. Baldwin ,['Vacant'],['Romance'],['Contemporary Romance'],no,third-person
Erin Bowman ,"['Taken', 'Contagion', 'Vengeance Road']","['Science Fiction', 'Fantasy', 'Romance', 'Horror']","['Paranormal', 'Post Apocalyptic', 'Zombies', 'Space', 'Historical Fiction']",no,third-person
Kate Thompson,"['Switchers', 'Wild Blood', ""Midnight's Choice""]",['Fantasy'],"['Paranormal', 'Urban Fantasy', 'Magic', 'Vampires']",no,third-person
Emilio Salgari,['Sandokan: The Pirates of Malaysia'],['Romance'],['Historical Fiction'],classic,third-person
Mike Mignola,"['Hellboy, Vol. 1: Seed of Destruction', 'Hellboy, Vol. 2: Wake the Devil', 'Hellboy, Vol. 5: Conqueror Worm', 'Hellboy, Vol. 6: Strange Places', 'Hellboy, Vol. 3: The Chained Coffin and Others', 'Hellboy, Vol. 8: Darkness Calls', 'Hellboy, Vol. 4: The Right Hand of Doom', 'Hellboy, Vol. 9: The Wild Hunt', 'Hellboy, Vol. 7: The Troll Witch and Others', 'Hellboy, Vol. 10: The Crooked Man and Others']","['Fantasy', 'Horror', 'Science Fiction']","['Paranormal', 'Urban Fantasy']",no,third-person
A.L. Jackson ,"['Come to Me Quietly', 'A Stone in the Sea', 'Stay', 'Wait', 'Drowning to Breathe', 'Come to Me Recklessly']",['Romance'],['Contemporary Romance'],no,first-person
Jennifer DeLucy ,['Seers of Light'],"['Fantasy', 'Romance']","['Paranormal', 'Vampires', 'Paranormal Romance', 'Urban Fantasy', 'Magic']",no,first-person
Petteri Hannila ,['Fargoer'],['Fantasy'],['Historical Fiction'],no,third-person
Erin Dionne ,"[""Models Don't Eat Chocolate Cookies""]",['Romance'],['Realistic Fiction'],no,third-person
Will Hill ,"['Department Nineteen', 'Battle Lines']","['Fantasy', 'Horror', 'Science Fiction']","['Vampires', 'Paranormal', 'Urban Fantasy']",no,first-person
Kit Pearson,['A Handful of Time'],"['Fantasy', 'Science Fiction']","['Time Travel', 'Historical Fiction']",classic,omniscent
Rowena Beaumont Cherry,['Forced Mate'],"['Romance', 'Science Fiction', 'Fantasy']","['Paranormal', 'Paranormal Romance']",no,omniscent
Sharon Maas ,['Of Marriageable Age'],['Romance'],['Historical Fiction'],no,third-person
Walter Greatshell ,['Xombies'],"['Horror', 'Science Fiction', 'Fantasy']","['Zombies', 'Post Apocalyptic']",no,first-person
Terry McMillan ,"['How Stella Got Her Groove Back', 'Waiting to Exhale']",['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,third-person
Rachel Klein,['The Moth Diaries'],"['Horror', 'Fantasy']","['Vampires', 'Paranormal']",no,third-person
Phil Rickman,['December'],"['Horror', 'Fantasy']",['Paranormal'],no,first-person
Jody Gehrman ,['Confessions of a Triple Shot Betty'],['Romance'],['Realistic Fiction'],no,third-person
Lori Foster ,"['Too Much Temptation', 'Just a Hint - Clint', 'Perfect for the Beach', 'A Perfect Storm']",['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,third-person
Jesse Bullington ,['The Sad Tale of the Brothers Grossbart'],"['Fantasy', 'Horror']","['Historical Fiction', 'Historical Fantasy']",no,third-person
Phyllis A. Whitney,"['Thunder Heights', 'Sea Jade', 'The Quicksilver Pool', 'The Golden Unicorn', 'Snowfire']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,omniscent
Sally Smith O'Rourke ,['The Man Who Loved Jane Austen'],"['Romance', 'Fantasy']","['Historical Fiction', 'Time Travel', 'Historical Romance', 'Contemporary Romance']",no,third-person
Beatrice Sparks,"[""Annie's Baby: The Diary of Anonymous, A Pregnant Teenager""]",['Romance'],['Realistic Fiction'],no,first-person
Kate O'Hegarty ,['Mieradome'],['Fantasy'],['High Fantasy'],no,first-person
Charlotte Featherstone ,['Addicted'],['Romance'],"['Historical Romance', 'Historical Fiction', 'Erotic Romance']",no,omniscent
Lewis Shiner,['Glimpses'],"['Fantasy', 'Science Fiction']","['Time Travel', 'Historical Fiction']",no,third-person
M. Kei ,['The Sallee Rovers'],['Romance'],['Historical Fiction'],no,third-person
Belva Plain,"['Evergreen', 'Tapestry', 'Blessings', 'Homecoming', 'After the Fire', 'Promises', 'Legacy of Silence', 'Random Winds']",['Romance'],"['Historical Fiction', 'Historical Romance', 'Contemporary Romance']",no,omniscent
Cheryl Klam ,['The Pretty One'],['Romance'],['Realistic Fiction'],no,third-person
Jude Stephens ,['Scent of a Vampire'],"['Romance', 'Fantasy']","['Vampires', 'Paranormal Romance', 'Paranormal', 'Urban Fantasy']",no,third-person
Rachel Hauck ,"['Georgia on Her Mind', 'The Wedding Dress', 'Love Starts with Elle', 'The Memory House', 'Sweet Caroline', 'Dining with Joy', 'Once Upon a Prince']",['Romance'],"['Contemporary Romance', 'Historical Fiction']",no,first-person
Walter E. Mark ,['A Beacon of Hope'],"['Fantasy', 'Science Fiction']",['Epic Fantasy'],no,third-person
Delia Sherman ,['Changeling'],['Fantasy'],"['Urban Fantasy', 'Magic']",no,third-person
Stephanie Skeem ,['Flotsam'],['Fantasy'],['Realistic Fiction'],no,omniscent
Randall Wallace ,['Braveheart'],['Romance'],['Historical Fiction'],classic,omniscent
Kit Berry ,['Magus Of Stonewylde'],"['Fantasy', 'Romance']","['Magic', 'Witchcraft', 'Paranormal Romance']",no,third-person
B.E. Maxwell ,['The Faerie Door'],['Fantasy'],"['Magic', 'Time Travel']",no,third-person
Gabriele Wills ,['The Summer Before the Storm'],['Romance'],['Historical Fiction'],no,first-person
Mette Ivie Harrison,['The Princess and the Hound'],"['Fantasy', 'Romance']","['Magic', 'Historical Fiction']",no,first-person
Mary Mackey ,['The Year the Horses Came'],"['Fantasy', 'Romance']",['Historical Fiction'],no,third-person
Mary Brown,"['Playing the Jack', 'The Unlikely Ones']","['Romance', 'Fantasy', 'Science Fiction']","['Historical Fiction', 'Historical Romance', 'High Fantasy', 'Magic']",no,third-person
T.R.G. ,['Warriors of the Cross'],"['Fantasy', 'Romance']","['Paranormal', 'Magic', 'Paranormal Romance', 'Demons', 'Urban Fantasy']",no,first-person
Blake Butler,['Scorch Atlas'],"['Horror', 'Science Fiction']",['Post Apocalyptic'],no,omniscent
Tessa Dare ,"['Goddess of the Hunt', 'A Week to Be Wicked', 'The Duchess Deal', 'A Lady by Midnight']",['Romance'],"['Historical Romance', 'Historical Fiction']",no,third-person
Linda Pohring ,['Oddily'],"['Fantasy', 'Romance']","['Paranormal', 'Urban Fantasy', 'Paranormal Romance']",no,third-person
Christine Nolfi ,['Treasure Me'],['Romance'],"['Contemporary Romance', 'Historical Fiction']",no,first-person
J.M. Dattilo ,"[""Time's Edge""]","['Science Fiction', 'Romance', 'Fantasy']",['Time Travel'],no,third-person
Denise Jaden ,"['Losing Faith', 'Never Enough']",['Romance'],['Realistic Fiction'],no,third-person
P.D. Griffith ,['The Search for Artemis'],"['Fantasy', 'Science Fiction']",['Paranormal'],no,omniscent
Mark Merlis,"[""An Arrow's Flight""]",['Fantasy'],['Historical Fiction'],classic,omniscent
Emilie Richards ,"['Iron Lace', 'Rising Tides']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
Shea Berkley ,['The Marked Son'],"['Fantasy', 'Romance']","['Paranormal', 'Magic', 'Urban Fantasy']",no,third-person
S.E. Foulk ,['AngelFall Book I - A Novel of Hell'],['Fantasy'],['Paranormal'],no,first-person
Nicky Singer ,['Feather Boy'],['Fantasy'],['Realistic Fiction'],no,omniscent
Ellen Kushner ,['Thomas the Rhymer'],"['Fantasy', 'Romance']",['Historical Fiction'],no,first-person
Jill Rowan ,['The Legacy'],"['Fantasy', 'Romance', 'Science Fiction']","['Historical Fiction', 'Time Travel']",no,first-person
Shawn Thomas Odyssey ,['The Wizard of Dark Street'],['Fantasy'],"['Magic', 'Urban Fantasy', 'Historical Fiction']",no,first-person
Rachel Field,"['Hitty, Her First Hundred Years']",['Fantasy'],['Historical Fiction'],classic,first-person
Jon Evans ,['Beasts of New York'],['Fantasy'],['Urban Fantasy'],no,third-person
Ryan Winfield ,['South of Bixby Bridge'],['Romance'],['Realistic Fiction'],no,first-person
Samantha Sotto ,['Before Ever After'],"['Romance', 'Fantasy']","['Historical Fiction', 'Paranormal']",no,second-person
Christy Sloat ,"['The Many Lives of Avery Snow', 'The Brown House']","['Fantasy', 'Romance', 'Horror']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,third-person
Jeff W. Horton ,"['The Great Collapse', 'The Dark Age']",['Science Fiction'],['Post Apocalyptic'],no,omniscent
Pearl S. Buck,"['East Wind: West Wind', 'The Hidden Flower']",['Romance'],['Historical Fiction'],classic,first-person
Nell Gavin ,['Threads: The Reincarnation of Anne Boleyn'],"['Fantasy', 'Romance']","['Historical Fiction', 'Paranormal', 'Time Travel']",no,first-person
Christa Wolf,['Cassandra: A Novel and Four Essays'],['Fantasy'],['Historical Fiction'],classic,first-person
Diane Whiteside,"['Bond of Blood', 'Bond of Fire']","['Romance', 'Fantasy']","['Vampires', 'Paranormal', 'Paranormal Romance', 'Urban Fantasy', 'Erotic Romance']",no,first-person
Zack Mason ,['Shift'],['Science Fiction'],['Time Travel'],no,third-person
Marcus Alexander ,"[""Crow's Revenge""]",['Fantasy'],"['Magic', 'Urban Fantasy']",no,third-person
Tiffany King ,['Meant to Be'],"['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance', 'Magic']",no,first-person
Melissa Jensen ,['The Fine Art of Truth or Dare'],['Romance'],['Realistic Fiction'],no,second-person
Melyssa Williams ,['Shadows Gray'],"['Fantasy', 'Romance', 'Science Fiction']","['Time Travel', 'Historical Fiction', 'Paranormal', 'Paranormal Romance']",no,omniscent
Ethan Hawke,['The Hottest State'],['Romance'],['Realistic Fiction'],no,third-person
Tessa Afshar ,['Pearl in the Sand'],['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
Jennifer Malone Wright ,"[""The Vampire Hunter's Daughter""]","['Fantasy', 'Romance', 'Horror']","['Vampires', 'Paranormal', 'Urban Fantasy']",no,third-person
Shelly Goodman Wright ,['A Light into the Darkness'],"['Fantasy', 'Romance']","['Paranormal', 'Magic']",no,third-person
Tamara Gill ,"[""A Captain's Order - A Duke's Command""]",['Romance'],"['Historical Romance', 'Historical Fiction']",no,third-person
Richard Laymon,"['The Traveling Vampire Show', 'In the Dark', 'Body Rides']","['Horror', 'Fantasy']","['Vampires', 'Paranormal']",no,third-person
Danelle Harmon ,['The Wild One'],['Romance'],"['Historical Romance', 'Historical Fiction']",no,third-person
Helen Oyeyemi ,['White is for Witching'],"['Horror', 'Fantasy']",['Paranormal'],no,third-person
Ryan Boudinot ,['Blueprints Of The Afterlife'],"['Science Fiction', 'Fantasy']",['Post Apocalyptic'],no,second-person
Rachel K. Burke ,['Sound Bites: A Rock & Roll Love Story'],['Romance'],['Contemporary Romance'],no,third-person
Arthur Phillips ,['Angelica'],['Horror'],"['Historical Fiction', 'Paranormal']",no,first-person
Jennifer H. Westall ,"[""Love's Providence""]",['Romance'],['Contemporary Romance'],no,omniscent
Alan Dale ,"[""Dead Nations' Army Book One: Code Flesh""]",['Horror'],['Zombies'],no,omniscent
Cerece Rennie Murphy ,['Order of the Seers'],"['Fantasy', 'Science Fiction', 'Romance']","['Urban Fantasy', 'Paranormal']",no,third-person
Douglas Hulick ,['Among Thieves'],['Fantasy'],"['Epic Fantasy', 'High Fantasy', 'Urban Fantasy', 'Magic']",no,third-person
J.H. Trumble ,"[""Don't Let Me Go""]",['Romance'],['Realistic Fiction'],no,first-person
Richard Mason,['The World of Suzie Wong'],['Romance'],['Historical Fiction'],classic,third-person
Nicole Leigh Shepherd,['Pretty Tough'],['Romance'],['Realistic Fiction'],no,third-person
Lindsey Barraclough,['Long Lankin'],"['Horror', 'Fantasy']","['Historical Fiction', 'Paranormal']",no,third-person
Rosalind Wiseman ,"['Boys, Girls, and Other Hazardous Materials']",['Romance'],['Realistic Fiction'],no,third-person
Dannika Dark ,['Sterling'],"['Fantasy', 'Romance']","['Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Magic', 'Vampires']",no,first-person
Alfredo Vea,['La Maravilla'],['Fantasy'],['Historical Fiction'],no,second-person
Karl Schroeder,"['Permanence', 'Ventus']","['Science Fiction', 'Fantasy']","['Space', 'Hard Science Fiction', 'Cyberpunk']",no,first-person
Amber Benson ,"['How to be Death', ""Serpent's Storm"", ""Death's Daughter""]","['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Demons', 'Paranormal Romance', 'Magic']",no,omniscent
Oliver Bowden,"[""Assassin's Creed: Revelations"", ""Assassin's Creed: Renaissance"", ""Assassin's Creed: The Secret Crusade""]","['Fantasy', 'Science Fiction']",['Historical Fiction'],no,omniscent
Thomas Maltman ,['Little Wolves'],['Horror'],['Historical Fiction'],no,third-person
Amy Joy Lutchen ,['Renhala'],"['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Paranormal Romance']",no,third-person
Brian Clevinger,['Nuklear Age'],"['Science Fiction', 'Fantasy']",['Comedy'],no,first-person
Vardan Partamyan ,['The After/Life'],['Science Fiction'],['Post Apocalyptic'],no,omniscent
Sara Creasy ,['Song of Scarabaeus'],"['Science Fiction', 'Romance', 'Fantasy']",['Space'],no,second-person
Patrick C. Greene ,['Progeny'],"['Horror', 'Fantasy', 'Science Fiction']",['Paranormal'],no,third-person
